INFO 2016-10-18 18:30:21,464 Overall VALIDATION loss is: 2.21564817429
INFO 2016-10-18 18:30:21,464 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:21,805 Mean loss in 17th epoch is: 2.20379590988
INFO 2016-10-18 18:30:22,184 Overall VALIDATION loss is: 2.21991872787
INFO 2016-10-18 18:30:22,184 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:22,491 Mean loss in 18th epoch is: 2.20122241974
INFO 2016-10-18 18:30:22,891 Overall VALIDATION loss is: 2.2096145153
INFO 2016-10-18 18:30:22,891 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:23,201 Mean loss in 19th epoch is: 2.19706273079
INFO 2016-10-18 18:30:23,580 Overall VALIDATION loss is: 2.17527914047
INFO 2016-10-18 18:30:23,580 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:24,833 Mean loss in 20th epoch is: 2.19596862793
INFO 2016-10-18 18:30:25,212 Overall VALIDATION loss is: 2.18944334984
INFO 2016-10-18 18:30:25,212 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:25,538 Mean loss in 21th epoch is: 2.17274332047
INFO 2016-10-18 18:30:25,902 Overall VALIDATION loss is: 2.17032074928
INFO 2016-10-18 18:30:25,903 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:27,164 Mean loss in 22th epoch is: 2.17774271965
INFO 2016-10-18 18:30:27,545 Overall VALIDATION loss is: 2.14321231842
INFO 2016-10-18 18:30:27,545 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:28,816 Mean loss in 23th epoch is: 2.14149618149
INFO 2016-10-18 18:30:29,224 Overall VALIDATION loss is: 2.12633466721
INFO 2016-10-18 18:30:29,224 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:30,484 Mean loss in 24th epoch is: 2.12006902695
INFO 2016-10-18 18:30:30,887 Overall VALIDATION loss is: 2.13205909729
INFO 2016-10-18 18:30:30,887 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 18:30:31,207 Mean loss in 25th epoch is: 2.15782976151
INFO 2016-10-18 18:30:31,626 Overall VALIDATION loss is: 2.09335446358
INFO 2016-10-18 18:30:31,626 Overall VALIDATION accuracy is: 0.0
